CountryCod;CountryName;CountryID
169;"ITALIA              ";195
443;"LITUANIA            ";196
355;"POLONIA             ";197
87;"AUSTRIA             ";198
589;"ESLOVENIA           ";199
80;"BAHREIN             ";200
455;"CHIPRE              ";201
275;TUNICIA;202
351;"TAIWAN              ";203
603;OTROS PAISES Y TERR.;204
23;"CHINA               ";205
919;"PUERTO RICO         ";206
245;"TURQUIA             ";207
105;"SUECIA              ";208
611;"ESTADOS UNIDOS      ";209
249;"FILIPINAS           ";210
580;"AUSTRALIA           ";211
767;"SUIZA               ";212
618;"QATAR               ";213
447;"HONG KONG           ";214
169;"FINLANDIA           ";215
494;EST.FEDERA.DE.MICRON;216
215;"CHILE               ";217
190;"CHINA               ";218
741;"CHINA               ";219
0;"MEXICO              ";220
580;"COREA DEL SUR       ";221
919;"CHINA               ";222
399;"INDIA               ";223
919;"CROACIA             ";224
764;"SUECIA              ";225
505;"MOZAMBIQUE          ";226
149;"CANADA              ";227
748;"SOMALIA             ";228
169;ZONA FRANCA INTEXZONA;229
63;OTROS PAISES Y TERR.;230
919;"HONDURAS            ";231
413;"KUWAIT              ";232
919;"BRASIL              ";233
271;"FINLANDIA           ";234
919;"MARRUECOS           ";235
169;"EMIRATOS ARABES U.  ";236
83;"BARBADOS            ";237
0;"ITALIA              ";238
647;OTROS PAISES Y TERR.;239
855;"CHINA               ";240
23;"REINO UNIDO         ";241
72;"AUSTRIA             ";242
919;REPUBLICA DOMINICANA;243
169;"CAMERUN             ";244
919;"LETONIA             ";245
472;ISLAS.MARSHALL;246
399;"CHINA               ";247
919;"SUDAFRICA           ";248
0;"ARGENTINA           ";249
919;"ITALIA              ";250
215;OTROS PAISES Y TERR.;251
375;"IRLANDA (EIRE)      ";252
589;"CHINA               ";253
249;PAISES BAJOS(HOLANDA;254
105;"ESTADOS UNIDOS      ";255
169;"MALASIA             ";256
919;"ESLOVAQUIA          ";257
420;"LAOS                ";258
245;"BULGARIA            ";259
767;"CHINA               ";260
169;"FILIPINAS           ";261
919;"UCRANIA             ";262
767;"INDIA               ";263
919;LIECHTENSTEIN;264
240;"CHINA               ";265
355;OTROS PAISES Y TERR.;266
919;"COREA DEL NORTE     ";267
169;"BULGARIA            ";268
580;"VIETNAM             ";269
607;"PORTUGAL            ";270
566;"PACIFICO ISLAS DEL ";271
232;"DINAMARCA           ";272
149;"REINO UNIDO         ";273
767;LIECHTENSTEIN;274
169;"ESTADOS UNIDOS      ";275
87;"FRANCIA             ";276
919;"JORDANIA            ";277
919;"FINLANDIA           ";278
379;"ISLANDIA            ";279
0;"INDONESIA           ";280
919;"VIETNAM             ";281
919;"GUATEMALA           ";282
215;LUXEMBURGO;283
249;"IRLANDA (EIRE)      ";284
211;"CABO VERDE          ";285
93;"INDIA               ";286
573;"SUIZA               ";287
69;"AUSTRALIA           ";288
91;BELARUS;289
386;OTROS PAISES Y TERR.;290
573;"AUSTRIA             ";291
919;ZONA FRANCA INTEXZONA;292
919;"INDIA               ";293
242;"EL SALVADOR         ";294
23;"FRANCIA             ";295
245;"ESTADOS UNIDOS      ";296
919;"JAMAICA             ";297
169;"BRASIL              ";298
855;"VIETNAM             ";299
827;"SUIZA               ";300
919;"KENYA               ";301
580;"PERU                ";302
345;"HONG KONG           ";303
820;TUNICIA;304
434;"LIBERIA             ";305
43;"ANTIGUA Y BARBUDA   ";306
23;"SINGAPUR            ";307
0;ALEMANIA REP. FED.DE;308
361;"CHINA               ";309
169;"ECUADOR             ";310
244;"REINO UNIDO         ";311
589;"BRASIL              ";312
741;"MALASIA             ";313
275;"TURQUIA             ";314
301;"GRECIA              ";315
351;"BAHAMAS             ";316
249;"AFGANISTAN          ";317
676;RUSIA;318
919;ALEMANIA REP. FED.DE;319
607;OTROS PAISES Y TERR.;320
573;"EMIRATOS ARABES U.  ";321
919;PAISES BAJOS(HOLANDA;322
907;"CHINA               ";323
169;"HONG KONG           ";324
919;MONACO;325
493;ESPA�A;326
211;"REINO UNIDO         ";327
576;ESPA�A;328
245;"INDIA               ";329
275;BELGICA;330
169;"INDONESIA           ";331
169;"VIETNAM             ";332
275;"REINO UNIDO         ";333
919;"TURQUIA             ";334
628;"PORTUGAL            ";335
386;"CANADA              ";336
232;OTROS PAISES Y TERR.;337
919;"JAPON               ";338
0;"TURQUIA             ";339
59;"ARGENTINA           ";340
628;"REPUBLICA CHECA     ";341
355;"HUNGRIA             ";342
920;"ZONA F. PACIFICO    ";343
665;ZIMBABWE;344
494;ALEMANIA REP. FED.DE;345
493;OTROS PAISES Y TERR.;346
249;BELGICA;347
245;"FINLANDIA           ";348
767;ALEMANIA REP. FED.DE;349
249;"ARGENTINA           ";350
919;"NICARAGUA           ";351
0;"BRASIL              ";352
137;CAIMAN ISLAS;353
919;"ESTONIA             ";354
169;"INDIA               ";355
447;"SAMOA (OCCIDENTAL)  ";356
239;OTROS PAISES Y TERR.;357
488;"MAURITANIA          ";358
919;"MEXICO              ";359
249;"ITALIA              ";360
169;"TAILANDIA           ";361
23;RUSIA;362
919;"IRLANDA (EIRE)      ";363
399;"JAPON               ";364
919;"MALASIA             ";365
580;"INDIA               ";366
628;"BANGLADESH          ";367
87;ESPA�A;368
741;"INDONESIA           ";369
767;"JAPON               ";370
919;"INDONESIA           ";371
173;"COMORAS             ";372
169;"NORUEGA             ";373
576;"PAKISTAN            ";374
145;"CAMERUN             ";375
919;"MALTA               ";376
919;ZIMBABWE;377
494;"ESTADOS UNIDOS      ";378
249;"REINO UNIDO         ";379
215;"PANAMA              ";380
149;OTROS PAISES Y TERR.;381
855;"ESTADOS UNIDOS      ";382
603;"CHINA               ";383
87;OTROS PAISES Y TERR.;384
399;"ESTADOS UNIDOS      ";385
919;"FILIPINAS           ";386
215;"TAIWAN              ";387
361;ALEMANIA REP. FED.DE;388
399;PAISES BAJOS(HOLANDA;389
455;OTROS PAISES Y TERR.;390
169;"URUGUAY             ";391
919;"ESTADOS UNIDOS      ";392
912;"ZONA FRANCA BUENAV. ";393
386;"TAIWAN              ";394
169;"COREA DEL SUR       ";395
23;OTROS PAISES Y TERR.;396
59;ARGELIA;397
538;"FRANCIA             ";398
211;"ARGENTINA           ";399
0;"CHINA               ";400
232;ALEMANIA REP. FED.DE;401
190;"ESTADOS UNIDOS      ";402
26923;BELGICA;403
23;"JAPON               ";404
919;"URUGUAY             ";405
63;"REINO UNIDO         ";406
0;"ESTADOS UNIDOS      ";407
406;KAZAJSTAN;408
919;"ZONA F. CANDELARIA  ";409
87;"IRLANDA (EIRE)      ";410
83;"ESTADOS UNIDOS      ";411
365;"INDONESIA           ";412
386;"TURQUIA             ";413
827;OTROS PAISES Y TERR.;414
580;"TAIWAN              ";415
345;"CHINA               ";416
919;"COSTA RICA          ";417
493;PAISES BAJOS(HOLANDA;418
919;"NORUEGA             ";419
383;OTROS PAISES Y TERR.;420
355;"SUECIA              ";421
245;"POLONIA             ";422
628;"SUECIA              ";423
485;"MAURICIO MARTINICA  ";424
53;"ARABIA SAUDITA      ";425
23;PAISES BAJOS(HOLANDA;426
244;"JAPON               ";427
249;"BRASIL              ";428
440;OTROS PAISES Y TERR.;429
493;"MEXICO              ";430
275;"FINLANDIA           ";431
23;"SUIZA               ";432
919;"AUSTRIA             ";433
215;"KAMPUCHEA (CAMBOYA) ";434
215;ESPA�A;435
431;"LIBANO              ";436
275;"INDIA               ";437
919;"TOKELAU             ";438
447;"CHINA               ";439
919;"HUNGRIA             ";440
169;"POLONIA             ";441
249;"PANAMA              ";442
275;"SUDAFRICA           ";443
372;"IRAN                ";444
919;"PERU                ";445
87;PAISES BAJOS(HOLANDA;446
53;OTROS PAISES Y TERR.;447
351;"ITALIA              ";448
447;"MACAO               ";449
88;"BELICE              ";450
169;"EL SALVADOR         ";451
169;"ZONA F. PACIFICO    ";452
169;"TAIWAN              ";453
87;ALEMANIA REP. FED.DE;454
919;"POLONIA             ";455
383;"CHINA               ";456
670;"RUMANIA             ";457
169;"ZONA FRANCA BOGOTA  ";458
169;COCOS(KEELING) ISLAS;459
249;"DINAMARCA           ";460
215;"COREA DEL SUR       ";461
805;"TOKELAU             ";462
351;"PANAMA              ";463
573;"CHINA               ";464
656;"CHINA               ";465
611;OTROS PAISES Y TERR.;466
351;"SAMOA (OCCIDENTAL)  ";467
245;"REPUBLICA CHECA     ";468
628;"REINO UNIDO         ";469
239;"MEXICO              ";470
72;OTROS PAISES Y TERR.;471
169;"REPUBLICA CHECA     ";472
249;"HONDURAS            ";473
919;"TAILANDIA           ";474
23;"IRLANDA (EIRE)      ";475
23;ALEMANIA REP. FED.DE;476
573;OTROS PAISES Y TERR.;477
275;"ITALIA              ";478
69;"AUSTRIA             ";479
169;"ARGENTINA           ";480
169;ZONA FRANCA ARGOS S.A;481
776;"INDIA               ";482
467;"MALTA               ";483
29;BOSNIA - HERZEGOVINA;484
580;"CHINA               ";485
611;"PUERTO RICO         ";486
215;"HONG KONG           ";487
249;"INDIA               ";488
999;"ITALIA              ";489
53;"CHINA               ";490
249;"SAMOA (OCCIDENTAL)  ";491
267;"FILIPINAS           ";492
580;OTROS PAISES Y TERR.;493
149;ALEMANIA REP. FED.DE;494
159;"CIUDAD DEL VATICANO ";495
919;"EL SALVADOR         ";496
644;"REPUBLICA CHECA     ";497
17;"ALBANIA             ";498
973;ALEMANIA REP. FED.DE;499
249;"ESTADOS UNIDOS      ";500
249;"CANADA              ";501
87;"ITALIA              ";502
0;"ZONA FRANCA BOGOTA  ";503
776;"JAPON               ";504
697;SAN MARINO;505
169;"ISLANDIA            ";506
249;"JAPON               ";507
23;"ITALIA              ";508
317;"GUATEMALA           ";509
410;"KENYA               ";510
391;"JAMAICA             ";511
919;"BULGARIA            ";512
603;"POLONIA             ";513
23;"ESLOVAQUIA          ";514
628;"SUIZA               ";515
918;COLOMBIA;516
275;ALEMANIA REP. FED.DE;517
919;"ZONA FRANCA BOGOTA  ";518
351;"SINGAPUR            ";519
13;OTROS PAISES Y TERR.;520
383;"FILIPINAS           ";521
245;"CHINA               ";522
589;"PERU                ";523
232;"SUECIA              ";524
245;"RUMANIA             ";525
403;"JORDANIA            ";526
351;"JAPON               ";527
919;"LITUANIA            ";528
87;"REINO UNIDO         ";529
249;"MEXICO              ";530
211;"ESTADOS UNIDOS      ";531
764;"TURQUIA             ";532
169;"PERU                ";533
919;"ARGENTINA           ";534
827;"FRANCIA             ";535
169;"CHINA               ";536
980;"MEXICO              ";537
845;"URUGUAY             ";538
369;"IRAK                ";539
249;KAZAJSTAN;540
919;"ISRAEL              ";541
445;LUXEMBURGO;542
815;"TRINIDAD Y TOBAGO   ";543
249;"ISRAEL              ";544
275;"JAPON               ";545
232;"ITALIA              ";546
628;OTROS PAISES Y TERR.;547
246;"ESLOVAQUIA          ";548
169;"COSTA RICA          ";549
267;OTROS PAISES Y TERR.;550
251;"ESTONIA             ";551
919;BOSNIA - HERZEGOVINA;552
105;"CHINA               ";553
919;"RUMANIA             ";554
275;"ESTADOS UNIDOS      ";555
169;"NUEVA ZELANDA       ";556
127;"CABO VERDE          ";557
87;"ESLOVAQUIA          ";558
485;"FRANCIA             ";559
23;"GRECIA              ";560
919;"COMORAS             ";561
580;"FRANCIA             ";562
169;"CHILE               ";563
351;"ESTADOS UNIDOS      ";564
827;"TURQUIA             ";565
919;"SRILANKA            ";566
919;"NUEVA ZELANDA       ";567
239;COLOMBIA;568
607;"ITALIA              ";569
169;"HUNGRIA             ";570
249;ALEMANIA REP. FED.DE;571
573;"FRANCIA             ";572
141;OTROS PAISES Y TERR.;573
0;"INDIA               ";574
87;BELGICA;575
919;"EMIRATOS ARABES U.  ";576
898;.;577
169;"AUSTRIA             ";578
361;"INDIA               ";579
87;"SUECIA              ";580
0;"FINLANDIA           ";581
169;"PARAGUAY            ";582
589;OTROS PAISES Y TERR.;583
498;MONACO;584
383;"ISRAEL              ";585
767;OTROS PAISES Y TERR.;586
391;"ESTADOS UNIDOS      ";587
919;COLOMBIA;588
942;"ESTADOS UNIDOS      ";589
196;"CHINA               ";590
0;"TAIWAN              ";591
573;"IRLANDA (EIRE)      ";592
922;ZONA F.POZOS COLORAD;593
386;"CHINA               ";594
521;"NICARAGUA           ";595
0;COLOMBIA;596
169;"DINAMARCA           ";597
23;"ESTADOS UNIDOS      ";598
13;"AFGANISTAN          ";599
169;"REINO UNIDO         ";600
455;"MALASIA             ";601
493;"INDIA               ";602
69;OTROS PAISES Y TERR.;603
245;"FRANCIA             ";604
249;"SUIZA               ";605
215;"CHINA               ";606
0;"CHILE               ";607
580;"REINO UNIDO         ";608
919;"PANAMA              ";609
0;Pais no especificado;610
221;"CHIPRE              ";611
249;"HUNGRIA             ";612
108;"BRUNEI DARUSSALAM   ";613
249;"URUGUAY             ";614
218;"HONG KONG           ";615
855;OTROS PAISES Y TERR.;616
249;"COREA DEL SUR       ";617
399;OTROS PAISES Y TERR.;618
580;RUSIA;619
830;"UCRANIA             ";620
919;"CHILE               ";621
695;S CRISTOBAL Y NIEVES;622
895;"ZONA DEL CANAL      ";623
196;"ITALIA              ";624
493;"LETONIA             ";625
245;ESPA�A;626
919;"OMAN                ";627
361;OTROS PAISES Y TERR.;628
211;"URUGUAY             ";629
507;"CHINA               ";630
863;ISLAS VIRGENES BRIT.;631
386;"ITALIA              ";632
245;"PORTUGAL            ";633
249;"HONG KONG           ";634
919;"ARABIA SAUDITA      ";635
169;"CANADA              ";636
105;ESPA�A;637
656;ESPA�A;638
87;"BULGARIA            ";639
169;"PORTUGAL            ";640
917;"ZONA F. RIONEGRO    ";641
169;PITCAIRN.ISLA;642
351;"COREA DEL SUR       ";643
190;OTROS PAISES Y TERR.;644
741;OTROS PAISES Y TERR.;645
87;"CHINA               ";646
929;ZPE INTERNACIONAL DEL ATLANTIC;647
919;"ISLANDIA            ";648
239;"ECUADOR             ";649
169;"FRANCIA             ";650
87;"INDIA               ";651
215;"SAMOA (OCCIDENTAL)  ";652
919;"CHIPRE              ";653
919;OTROS PAISES Y TERR.;654
215;"ITALIA              ";655
573;PAISES BAJOS(HOLANDA;656
580;"KAMPUCHEA (CAMBOYA) ";657
239;"ESTADOS UNIDOS      ";658
580;ESPA�A;659
169;BELGICA;660
351;"VIETNAM             ";661
245;"REINO UNIDO         ";662
196;"INDIA               ";663
823;TURCAS Y CAICOS ISLA;664
351;"HONG KONG           ";665
244;"ESTADOS UNIDOS      ";666
776;"TAILANDIA           ";667
355;"CHINA               ";668
919;"VENEZUELA           ";669
23;"BULGARIA            ";670
275;"SUIZA               ";671
63;"ARGENTINA           ";672
249;"TAILANDIA           ";673
149;"ESTADOS UNIDOS      ";674
232;"ESTADOS UNIDOS      ";675
919;"BOLIVIA             ";676
169;"PANAMA              ";677
919;PITCAIRN.ISLA;678
429;"LETONIA             ";679
919;ESPA�A;680
827;"REINO UNIDO         ";681
169;"SINGAPUR            ";682
919;"FRANCIA             ";683
580;"ZONA FRANCA BOGOTA  ";684
240;"EGIPTO              ";685
850;"VENEZUELA           ";686
169;OTROS PAISES Y TERR.;687
215;ALEMANIA REP. FED.DE;688
249;COLOMBIA;689
919;"MAURITANIA          ";690
81;"BANGLADESH          ";691
919;"CANADA              ";692
